,open_time,open,high,low,close,volume,close_time,amount,number,call_volume,call_amount,ignore
0,2021-12-01 00:00:00,56950.56,59053.55,56458.01,57184.07,44956.63656,2021-12-01 23:59:59,2584928714.0757422,1442301,21501.29463,1236414404.9088528,0
1,2021-12-02 00:00:00,57184.07,57375.47,55777.77,56480.34,37574.05976,2021-12-02 23:59:59,2127110102.1073096,1307890,18375.47518,1040366894.5501271,0
2,2021-12-03 00:00:00,56484.26,57600.0,51680.0,53601.05,58927.69027,2021-12-03 23:59:59,3246198505.9468513,1865063,27287.25751,1505556556.1578631,0
3,2021-12-04 00:00:00,53601.05,53859.1,42000.3,49152.47,114203.373748,2021-12-04 23:59:59,5495712061.978532,3362771,52876.55238,2544632557.496252,0
4,2021-12-05 00:00:00,49152.46,49699.05,47727.21,49396.33,45580.82012,2021-12-05 23:59:59,2231486105.8439116,1371839,22420.90324,1097785758.5909762,0
5,2021-12-06 00:00:00,49396.32,50891.11,47100.0,50441.92,58571.21575,2021-12-06 23:59:59,2851528919.1795363,1741956,28820.34753,1403464676.8850937,0
6,2021-12-07 00:00:00,50441.91,51936.33,50039.74,50588.95,38253.46877,2021-12-07 23:59:59,1950573500.2086658,1212350,18679.11099,952551067.6259857,0
7,2021-12-08 00:00:00,50588.95,51200.0,48600.0,50471.19,38425.92466,2021-12-08 23:59:59,1925458787.1147523,1118225,18126.84362,908410692.2460091,0
8,2021-12-09 00:00:00,50471.19,50797.76,47320.0,47545.59,37692.68665,2021-12-09 23:59:59,1841474998.89511,1130599,18097.0596,884082539.7047912,0
9,2021-12-10 00:00:00,47535.9,50125.0,46852.0,47140.54,44233.57391,2021-12-10 23:59:59,2135023722.8531513,1215231,21143.96129,1020995576.3025669,0
10,2021-12-11 00:00:00,47140.54,49485.71,46751.0,49389.99,28889.19358,2021-12-11 23:59:59,1397524635.581402,957390,14452.26806,699251597.8052382,0
11,2021-12-12 00:00:00,49389.99,50777.0,48638.0,50053.9,26017.93421,2021-12-12 23:59:59,1292315883.6245537,863605,13266.00955,658923314.8679801,0
12,2021-12-13 00:00:00,50053.9,50189.97,45672.75,46702.75,50869.52093,2021-12-13 23:59:59,2423888500.790305,1399599,23487.0228,1119972248.5384023,0
13,2021-12-14 00:00:00,46702.76,48700.41,46290.0,48343.28,39955.98445,2021-12-14 23:59:59,1887427362.4740965,1194992,20010.80589,945501336.1569144,0
14,2021-12-15 00:00:00,48336.95,49500.0,46547.0,48864.98,51629.181,2021-12-15 23:59:59,2487012309.0915494,1438176,25861.16891,1246095378.459541,0
15,2021-12-16 00:00:00,48864.98,49436.43,47511.0,47632.38,31949.86739,2021-12-16 23:59:59,1551200654.052745,1023983,15281.92439,742115283.5773988,0
16,2021-12-17 00:00:00,47632.38,47995.96,45456.0,46131.2,43104.4887,2021-12-17 23:59:59,2015966349.5161324,1261780,19846.77192,928665863.5850744,0
17,2021-12-18 00:00:00,46133.83,47392.37,45500.0,46834.48,25020.05271,2021-12-18 23:59:59,1165205135.7008426,862066,12635.54707,588649454.2725667,0
18,2021-12-19 00:00:00,46834.47,48300.01,46406.91,46681.23,29305.70665,2021-12-19 23:59:59,1384958598.3627698,874827,14646.77828,692559814.2285637,0
19,2021-12-20 00:00:00,46681.24,47537.57,45558.85,46914.16,35848.50609,2021-12-20 23:59:59,1663363117.8304534,1076488,17666.32749,819817570.663743,0
20,2021-12-21 00:00:00,46914.17,49328.96,46630.0,48889.88,37713.92924,2021-12-21 23:59:59,1827234149.0598803,1119412,19356.27006,937648412.2221354,0
21,2021-12-22 00:00:00,48887.59,49576.13,48421.87,48588.16,27004.2022,2021-12-22 23:59:59,1322418595.3337295,949480,13402.54963,656467230.7563097,0
22,2021-12-23 00:00:00,48588.17,51375.0,47920.42,50838.81,35192.54046,2021-12-23 23:59:59,1738129830.7814522,1176050,17397.67034,859605116.679757,0
23,2021-12-24 00:00:00,50838.82,51810.0,50384.43,50820.0,31684.84269,2021-12-24 23:59:59,1618089927.2810063,1075177,15108.36362,771557283.6260679,0
24,2021-12-25 00:00:00,50819.99,51156.23,50142.32,50399.66,19135.51613,2021-12-25 23:59:59,971491029.130824,766979,9928.30266,504102529.5288982,0
25,2021-12-26 00:00:00,50399.67,51280.0,49412.0,50775.49,22569.88914,2021-12-26 23:59:59,1132200241.5624182,797133,11285.69707,566374786.7160686,0
26,2021-12-27 00:00:00,50775.48,52088.0,50449.0,50701.44,28792.21566,2021-12-27 23:59:59,1472065236.0117192,1009411,14436.09322,738369203.3321569,0
27,2021-12-28 00:00:00,50701.44,50704.05,47313.01,47543.74,45853.33924,2021-12-28 23:59:59,2242102220.931003,1345774,21743.17013,1063171693.1535625,0
28,2021-12-29 00:00:00,47543.74,48139.08,46096.99,46464.66,39498.87,2021-12-29 23:59:59,1873785571.2732966,1114074,19089.6191,905969695.6425399,0
29,2021-12-30 00:00:00,46464.66,47900.0,45900.0,47120.87,30352.29569,2021-12-30 23:59:59,1428755720.453203,910157,14886.52375,700792256.6883159,0
30,2021-12-31 00:00:00,47120.88,48548.26,45678.0,46216.93,34937.99796,2021-12-31 23:59:59,1650715977.918517,1059783,17315.5423,818331688.0033131,0
